,name,price,img_url,detail,flavor
28,こだわりの手割り醤油せん,128,https://www.family.co.jp/content/dam/family/goods/4822608.jpg,国産うるち米100%、超特選たまり醤油を使用し、手割りしたこだわりのせんべいです。,3
29,えんどう豆スナック濃厚ガーリックバター味,108,https://www.family.co.jp/content/dam/family/goods/4820581.jpg,波型形状が見た目も楽しい、ザクザクの食感と濃厚なコクがくせになる味わいのスナックです。,3
30,ツンとした辛さがクセになるわさび柿ピー,138,https://www.family.co.jp/content/dam/family/goods/5021819.jpg,安曇野産わさびから作った粉末わさびと本醸造醤油を使用したわさび味の柿ピーです。,2
31,シビれる辛さがクセになる麻辣花生,138,https://www.family.co.jp/content/dam/family/goods/5020522.jpg,花椒がきいた麻辣ピーに輪切り唐辛子をミックスしました。,2
32,8種類のおいしさ和菓子ミックス,298,https://www.family.co.jp/content/dam/family/goods/4821908.jpg,どら焼やまんじゅうなど人気の和菓子8種類を詰め合わせたアソートタイプの大袋です。,1
33,亀田　技のこだ割り　梅味,140,https://www.family.co.jp/content/dam/family/goods/5032099.jpg,堅焼煎餅をわざと砕き、特製醤油だれを3度しみ込ませた「技のこだ割り」の梅味です。紀州産南高梅の乾燥梅肉を使用しています。,2
34,やみつきポテトうまみ塩味,158,https://www.family.co.jp/content/dam/family/goods/4820321.jpg,赤穂の天塩を100％使用したやみつきになる美味しさのおつまみスナックです。,3
35,かぶりつきカルパス　プレーン,103,https://www.family.co.jp/content/dam/family/goods/5010028.jpg,肉の旨みを強く出しながらも、あっさりとした味わいです。,3
36,こんがり揚げたカリッとぎんなん,180,https://www.family.co.jp/content/dam/family/goods/5012725.jpg,宮古島産雪塩を使用したカリっとした食感でぎんなんの風味とほどよい塩味がクセになる味わいです。,3
37,こんがり揚げたカリッとにんにく,158,https://www.family.co.jp/content/dam/family/goods/5012732.jpg,宮古島産雪塩を使用したカリっとした食感でにんにくの風味とほどよい塩味がクセになる味わいです。,2
38,かぶりつきカルパス　辛口,103,https://www.family.co.jp/content/dam/family/goods/5012756.jpg,肉の旨みを強く出しながらも、ピリッと辛い味わいです。,2
39,2つの美味しさフィッシュ&チップス風スナック,138,https://www.family.co.jp/content/dam/family/goods/4820185.jpg,イギリスの代表料理である「フィッシュ&チップス」をイメージした商品です。,3
40,すっきりとした酸味ひとくちカリカリ梅,158,https://www.family.co.jp/content/dam/family/goods/4727347.jpg,丁寧に種を抜いたひとくちサイズの梅です。,2
41,しっとり食感ガトーショコラ風チョコ,138,https://www.family.co.jp/content/dam/family/goods/4821878.jpg,ココアクッキーにチョコ生地をかけたガトーショコラ風菓子です。,1
42,バターの芳醇な香りご褒美バターパイ,168,https://www.family.co.jp/content/dam/family/goods/4821830.jpg,ヨーロッパ産発酵バターを使ったサクサク食感のパイです。,1
43,至福のザクザク食感ご褒美ミルフィーユ,168,https://www.family.co.jp/content/dam/family/goods/4821847.jpg,ミルフィーユ状にじっくり焼き上げたザクザク食感です。,1
44,厳選10種のおつまみミックス,108,https://www.family.co.jp/content/dam/family/goods/4822097.jpg,おつまみでも、お茶うけでも楽しめるバラエティ豊かな味わいです。,3
45,素材の旨み皮つきさきいか　大袋,321,https://www.family.co.jp/content/dam/family/goods/5012657.jpg,下味をつけたいかを高温で香ばしく焼き上げたさきいかです。,3
46,風味が豊かなチーズ鱈(R)　大袋,321,https://www.family.co.jp/content/dam/family/goods/5012671.jpg,チェダーチーズとサムソーチーズの2種類のチーズを使用しました。,3
47,沖縄の塩シママース使用ソフト塩せんべい,118,https://www.family.co.jp/content/dam/family/goods/4821731.jpg,ソフトな食感とさっぱりとした塩味で仕上げたソフトせんべいです。,3
48,サクッとおいしい玄米おこげせん,108,https://www.family.co.jp/content/dam/family/goods/4821748.jpg,醸造濃口醤油、焦がし醤油、たまり醤油の3種の醤油を使用した濃厚な味わいです。,3
49,海老の風味豊かなえび満月,108,https://www.family.co.jp/content/dam/family/goods/4821755.jpg,厳選したえび粉をプラスしたえび満月です。,3
50,一口サイズのやわらかイカフライ,321,https://www.family.co.jp/content/dam/family/goods/5012633.jpg,するめの胴部分のみを使用し揚げたソフトタイプのイカフライです。,3
51,素材の風味を活かした炙りいかそうめん　大袋,321,https://www.family.co.jp/content/dam/family/goods/5012640.jpg,いかの耳のみを使用したほんのり甘い味付けのいかそうめんの大袋タイプです。,3
52,ピリ辛が後を引く焼きかまぼこ　大袋,321,https://www.family.co.jp/content/dam/family/goods/5012695.jpg,唐辛子の辛さが後を引くピリ辛焼きかまぼこの大袋タイプです。,2
53,三立製菓　チョコバットプレミアム　ほろにがチョコ&アーモンドプラリネ,54,https://www.family.co.jp/content/dam/family/goods/4751236.jpg,コーヒーで大人の甘さに仕上げ、散りばめたアーモンドプラリネの食感も楽しめるプレミアムなチョコバットです。,1
54,風味が豊かなチーズ鱈(R),138,https://www.family.co.jp/content/dam/family/goods/5012664.jpg,チェダーチーズとサムソーチーズの2種類のチーズを使用しました。,3
